"Vinyl acetate + vinyl chloride";"";"PVCA";"VC/VAC";"VC/VAC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"N-Vinylcarbazole";"";"PVK";"PVK";"PVK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinyl chloride";"";"PVC";"PVC";"PVC";"PVC";"PCU;V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinyl chloride, polymerized in bulk";"";"";"";"";"";"M-PVC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinyl chloride, polymerized in emulsion";"";"";"";"";"";"E-PVC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinyl chloride, polymerized in suspension";"";"";"";"";"";"S-PVC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinyl chloride, polymer as flexible film";"";"";"";"";"";"FPVC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinyl chloride, polymer as oriented film";"";"";"";"";"";"OPVC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinyl chloride, polymer as rigid film";"";"";"";"";"";"RPVC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinyl chloride + vinylidene chloride";"";"";"VC/VDC";"VC/VDC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinyl fluoride";"";"PVF";"PVF";"PVF";"PVF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinylidene chloride";"";"PVDC";"PVDC";"PVDC";"PVDC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinylidene fluoride";"";"PVDF";"PVDF";"PVDF";"PVDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinyl methyl ether";"";"";"";"";"";"PVME";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"N-Vinylpyrrolidone";"";"PVP";"PVP";"PVP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amide";"";"PA";"PA";"PA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amide, aromatic (aryl amide)";"";"PARA";"";"";"";"PAR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amide, metal coated films";"";"PA**";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amide, saran coated films";"";"PA*";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amide-imide";"";"PAI";"PAI";"PAI";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Arylene sulfone";"";"";"";"";"";"PAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzimidazole";"";"";"";"";"";"PBI";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bisphenol A-sulfone";"";"";"";"";"";"PSF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Carbodiimide";"";"";"";"";"";"PCD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Carbonate, aromatic";"";"PC";"PC";"PC";"PC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Epoxide (epoxy)";"";"EP";"EP";"EP";"EP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Epoxide (epoxy), glass fiber reinforced";"";"";"";"";"";"GEP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ester, saturated (polyester)";"";"";"SP";"SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ester, saturated (polyester), thermoplastic";"";"TPES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ester, saturated (polyester), thermoplastic, metallized polymer film";"";"";"";"";"";"MPE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ester, unsaturated (polyester)";"";"UP";"UP";"UP";"UP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ester, unsaturated (polyester), glass fiber reinforced";"";"";"";"";"";"FRP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polymer Handbook (4th Edition) © 1999; 2005 John Wiley & Sons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
