sep=;
"Title: Polymer Handbook (4th Edition)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Abbreviations for Thermoplastics, Thermosets, Fibers, Elastomers, and Additives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"polymeric material";"resulting polymer";"ASTM";"DIN";"ISO";"IUPAC";"other";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Propylene, oriented polymer";"";"";"";"";"";"OPP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Propylene, biaxially oriented polymer";"";"";"";"";"";"BOPP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Propylene + tetrafluoroethylene (alt.)";"";"";"";"";"";"TFE-P";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Propylene oxide";"";"PPOX";"PPOX";"PPOX";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Soybean oil, epoxidized";"";"";"ESO";"ESO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Styrene";"";"PS";"PS";"PS";"PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Styrene, expanded (foamed) polymer";"";"";"";"";"";"EPS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Styrene, high-impact polymer";"";"";"";"PS-HI";"";"HIPS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Styrene, impact resistant polymer";"";"SRP";"IPS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Styrene, oriented polymer";"";"";"";"";"";"OPS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Styrene, biaxially oriented polymer";"";"";"";"";"";"BPS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Tetrafluoroethylene";"";"PTFE";"PTFE";"PTFE";"PTFE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Tetrahydrofuran";"";"";"";"";"";"PTHF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Tetrahydrofuran, polymer with hydroxy endgroups";"";"";"";"";"";"PTMEG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Triallyl cyanurate";"";"PTAC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Trifluoroethylene";"";"";"";"";"P3FE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Trioxane ( + co-monomers)";"";"POM";"POM";"POM";"POM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vinyl acetate";"";"PVAC";"PVAC";"PVAC";"PVAC";"PVA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
