sep=;
"Title: Polymer Handbook (4th Edition)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Abbreviations for Thermoplastics, Thermosets, Fibers, Elastomers, and Additives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"polymeric material";"resulting polymer";"ASTM";"DIN";"ISO";"IUPAC";"other";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylic ester + acrylonitrile + butadiene";"";"ABA";"A/B/A";"A/B/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylic ester + acrylonitrile + styrene";"";"ASA";"A/S/A";"A/S/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylic ester + ethylene";"";"EEA";"";"E/EA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylic acid";"";"PAA";"";"";"";"PAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylonitrile";"";"PAN";"PAC";"";"PAN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylonitrile + butadiene";"";"PBAN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylonitrile + butadiene + methyl methacrylate + styrene";"";"";"";"";"";"MABS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylonitrile + butadiene + styrene";"";"ABS";"ABS";"ABS";"ABS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylonitrile + chlorinated poly(ethylene) + styrene";"";"";"A/PE-C/S";"A/CPE/S";"";"ACS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylonitrile + ethylene-propylene-diene + styrene";"";"";"A/EPDM/S";"A/EPDM/S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylonitrile + methyl methacrylate";"";"AMMA";"A/MMA";"A/MMA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylonitrile + styrene";"";"SAN";"SAN";"SAN";"SAN";"AS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adipic acid + hexamethylenediamine";"";"PA 6.6";"PA 66";"PA 66";"PA 6.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adipic acid + hexamethylenediamine + sebacic acid";"";"";"";"PA 66/610";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adipic acid + tetramethylene glycol";"";"";"";"";"";"PTMA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Allyl diglycol carbonate";"";"ADC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-Aminobenzoic acid";"";"";"";"";"";"PAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aminotriazol";"";"";"";"";"";"PAT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aminoundecanoic acid, 11-";"";"";"PA 11";"PA 11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Azelaic acid anhydride";"";"";"";"";"";"PAPA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bisphenol A + phosgene";"";"PC";"PC";"PC";"PC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bitumen + ethylene";"";"";"";"";"ECB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Butadiene + methyl methacrylate + styrene";"";"";"MBS";"MBS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Butadiene + styrene (thermoplastic)";"";"PBS";"S/B";"S/B";"S/B";"SB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Butene-1";"";"PB";"PB";"PB";"";"BT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Butyl acrylate";"";"";"PBA";"PBA";"PBA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Butylene glycol + terephthalic acid";"";"PBT";"PBTP";"PBTP";"";"PTMT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Butyl methacrylate";"";"";"";"";"";"PBMA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ε-Caprolactam";"";"PA 6";"PA 6";"PA 6";"PA 6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ε-Caprolactam + ω-dodecanolactam";"";"";"";"PA 6/12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chlorotrifluoroethylene";"";"PCTFE";"PCTFE";"PCTFE";"PCTFE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chlorotrifluoroethylene + ethylene";"";"";"";"";"";"ECTFE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Cresol + formaldehyde";"";"CF";"CF";"CF";"CF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1,4-Cyclohexanedimethylol + terephthalic acid";"";"";"";"";"";"PCDT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Diallyl chloroendate (=diallyl ester of 4,5,6,7,7-hexachlorobicyclo-[2,2,1]-5-heptane-2,3-dicarbonic acid)";"";"PDAC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Diallyl fumarate";"";"PDAF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Diallyl isophthalate";"";"PDAIP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Diallyl maleate";"";"PDAM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Diallyl phthalate";"";"PDAP";"PDAP";"PDAP";"PDAP";"DAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1,4-Dichlorobenzene + disodium sulfide";"";"PPS";"PPS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,6-Dimethylphenol + oxygen";"";"POP";"";"";"";"PPOTM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ω-Dodecanolactam (laurolactam)";"";"PA 12";"PA 12";"PA 12";"PA 12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethyl acrylate";"";"";"";"";"";"PEA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethyl acrylate + ethylene";"";"EEA";"E/EA";"E/EA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethylene";"";"PE";"PE";"PE";"PE";"PL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethylene, chlorinated polymer";"";"CPE";"PE-C";"PE-C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethylene, cross-linked polymer";"";"";"";"PE-X";"";"VPE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethylene, high-density polymer";"";"HDPE";"PE-HD";"PE-HD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethylene, high impact polymer";"";"";"";"PE-HI";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethylene, linear low-density polymer";"";"LLDPE";"";"PE-LLD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polymer Handbook (4th Edition) © 1999; 2005 John Wiley & Sons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
