sep=;
"Title: Polymer Handbook (4th Edition)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Abbreviations for Thermoplastics, Thermosets, Fibers, Elastomers, and Additives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"polymeric material";"resulting polymer";"ASTM";"DIN";"ISO";"IUPAC";"other";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ester-alkyd";"";"PAK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ester-ether (thermoplastic elastomer)";"";"TEEE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ester-imide";"";"PEI";"";"PEI";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ester-urethane";"";"";"";"PEUR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ether-block-amide";"";"PEBA";"PEBA";"PEBA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ether ether ketone";"";"PEEK";"";"PEEK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ether-imide";"";"";"PEI";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ether-sulfone";"";"PES";"PES";"PES";"";"PES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ether-sulfone";"";"PESU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Imide";"";"PI";"PI";"PI";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Parabanic acid";"";"";"";"";"";"PPA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Phenylene ether";"";"PPE";"PPE";"PPE";"";"PPOTM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Phenylene sulfide";"";"PPS";"";"PPS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Phenylene sulfone";"";"PPSU";"PPSU";"PPSU";"";"PSU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Silicone (plastics)";"";"SI";"SI";"SI";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sulfone";"";"PSU";"PSU";"PSU";"";"PSU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Urethane";"";"PUR";"PUR";"PUR";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Urethane, thermoplastic";"";"TPUR";"";"";"";"TPU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Urethane, thermoset";"";"TSUR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Carboxymethyl cellulose";"CMC";"CMC";"CMC";"CMC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Carboxymethyl hydroxyethyl cellulose";"";"";"";"";"CMHEC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Casein, crosslinked with formaldehyde";"CS";"CS";"CS";"CS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Cellulose, as Cellophan®";"C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Cellulose, coated with Saran";"C*";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Cellulose acetate";"CA";"CA";"CA";"CA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Cellulose acetobutyrate";"CAB";"CAB";"CAB";"CAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Cellulose acetopropionate";"CAP";"CAP";"CAP";"CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Cellulose nitrate";"CN";"CN";"CN";"CN";"NC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Cellulose plastics, unspecified";"CE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Cellulose propionate";"CP";"CP";"CP";"CP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Cellulose triacetate";"CTA";"CTA";"CTA";"";"TA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Ethyl cellulose";"EC";"EC";"EC";"EC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Hydroxyethyl cellulose";"";"";"";"";"HEC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Hydroxypropyl cellulose";"";"";"";"";"HPC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Hydroxypropyl methyl cellulose";"";"";"";"";"HPMC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Methyl cellulose";"";"MC";"MC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Poly(ethylene), chlorinated";"CPE";"PE-C";"PE-C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Poly(ethylene), chlorosulfonated";"CSM";"";"";"";"CSR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Poly(ethylene-co-vinyl alcohol)";"EVALTM";"E/VAL";"E/VAL";"";"EVOH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Poly(propylene), chlorinated";"";"PPC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Poly(vinyl alcohol)";"PVAL";"PVAL";"PVAL";"PVAL";"PVOH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Poly(vinyl butyral)";"PVB";"PVB";"PVB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Poly(vinyl chloride), chlorinated";"CPVC";"PVC-C";"PVC-C";"";"PC, PeCe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Poly(vinyl formal)";"PVFM";"PVFM";"PVFM";"PVFM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Bulk molding compound";"";"";"";"";"BMC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Elastomers, thermoplastic Elastomers, containing ester and ether groups ester and ether groups";"TEEE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Elastomers, thermoplastic, olefin-based";"TEO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Elastomers, thermoplastic, styrene-based";"TES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
