sep=;
"Title: Polymer Handbook (4th Edition)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Melting Points of Polymers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"polymer";"synonyms/comments";"mol. weight";"melting pt. (°C)";"refs.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene 5-oxaundecanediamide)";"";"318.42";"190";"1847";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene oxydibutyramide)";"";"290.36";"241";"1847";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene oxydibutyramide)";"";"290.36";"243";"1853";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene oxydicaproamide)";"";"346.47";"234";"1847";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene oxydienanthamide)";"";"374.52";"229";"1847";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene oxydipelargonamide)";"";"430.63";"215";"1847";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene oxydivaleramide)";"";"318.42";"243";"1847";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene pentadecanediamide)";"";"372.55";"241";"454";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene p-phenylenediacetate)";"";"296.32";"146";"291";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene phthalamide)";"";"266.3";"230";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(m-xylylene pimelamide)";"";"260.34";"192";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene pimelamide)";"";"260.34";"284";"385";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene pimelate)";"";"262.3";"67";"547";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene pimelate)";"";"262.3";"66";"1919";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(m-xylylene sebacamide)";"";"302.42";"193";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene sebacamide)";"";"302.42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene sebacate)";"";"304.39";"84";"325";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene sebacate)";"";"304.39";"88";"1919";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene sebacate)";"";"304.39";"93";"547";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(m-xylylene suberamide)";"";"274.36";"213";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene suberamide)";"";"274.36";"305";"385";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene suberate)";"";"276.33";"82";"547";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene succinamide)";"";"218.26";"360";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene succinate)";"";"220.22";"115";"547";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(m-xylylene terephthalamide)";"";"266.3";"300";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene terephthalamide)";"";"266.3";"350";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene terephthalate)";"";"268.27";"242";"547";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene terephthalate)";"";"268.27";"267";"1881";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(m-xylylene tetradecanediamide)";"";"358.53";"192";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(p-xylylene tetradecanediamide)";"";"358.53";"257";"454";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
