sep=;
"Title: Polymer Handbook (4th Edition)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Melting Points of Polymers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"polymer";"synonyms/comments";"mol. weight";"melting pt. (°C)";"refs.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene cyclopropylenediurethane)";"";"214.22";"180";"1865";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[tetramethylene (decamethylenedisulfonyl)-dicapromide]";"";"550.81";"219";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene 2,2'-dibenzoate)";"";"296.32";"36";"1552";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene 3,3'-dibenzoate)";"";"296.32";"66";"1552";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene 4,4'-dibenzoate)";"";"296.32";"280";"1566";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene 4,4'-dibenzoate)";"";"296.32";"260";"1552";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene 4,4'-dibenzoate)";"";"296.32";"328";"1174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(4,4'-tetramethylenedibenzoic anhydride)";"";"280.32";"263";"1854";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[4,4'-(tetramethylenedicarbonyl)-diphenylene succinate]";"";"380.4";"242";"1174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[3,3'-(tetramethylenedioxy)-dibenzoic anhydride]";"";"312.32";"199";"1854";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[4,4'-(tetramethylenedioxy)-dibenzoic anhydride]";"";"312.32";"204";"1854";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[3,3'-dimethoxy-4,4'-(tetramethylenedioxy)-dibenzoic anhydride]";"";"372.37";"172";"1855";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[(tetramethylenedioxy)-didecamethylene oxide]";"";"384.64";"73";"542";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[(tetramethylenedioxy)-dihexamethylene oxide]";"";"272.43";"50";"542";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[(tetramethyleneoxy)-ditrimethylene oxamide]";"";"258.32";"160";"291";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[(tetramethyleneoxy)-ditrimethylene oxamide]";"";"258.32";"167";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(Si-tetramethyl-tetramethylene disiloxanylenedipropionamide)";"";"330.58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N,N'-dimethyl-Si-tetramethyl-tetramethylene disiloxanylenedipropionamide)";"";"358.63";"120";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene disulfide)";"";"120.23";"39";"295";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene disulfide)";"";"120.23";"44";"725";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[4,4'-(2,2'-tetramethylenedithiazole)-p-phenylene]";"";"298.42";"250";"1810";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[4,4'-(tetramethylenedithio)-dibenzoic anhydride]";"";"344.44";"206";"1854";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene dithiodicarboxylate)";"";"208.25";"115";"1936";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene dithioladipate)";"";"232.36";"128";"1922";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene dithiolisophthalate)";"";"252.35";"174";"1922";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene dithiolsebacate)";"";"288.47";"98";"1922";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
