sep=;
"Title: Polymer Handbook (4th Edition)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Melting Points of Polymers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"polymer";"synonyms/comments";"mol. weight";"melting pt. (°C)";"refs.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(cis-1-isopropoxy-2-methylethylene)";"(erythro-di-isotactic)";"100.16";"204";"1880";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(trans-1-isopropoxy-2-methylethylene)";"(threo-di-isotactic)";"100.16";"211";"1880";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(cis- or trans-1-methoxy-2-methylethylene)";"(threo-di-isotactic)";"72.11";"230";"1880";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(cis- or trans-1-methoxy-2-methylethylene)";"(threo-di-isotactic)";"72.11";"287";"1804";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(cis- or trans-1-methoxy-2-methylethylene)";"(threo-di-isotactic)";"72.11";"210";"141";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly( trans-1-methyl-2-propoxyethylene)";"";"100.16";"168";"1804";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetrafluoroethylene)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(trifluoroethylene)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene adipamide)";"";"170.21";"310";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene adipamide-alt-ethylene oxamide)";"";"284.32";"D359";"1781";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene adipate)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(methylethylene adipate) (diol)";"";"186.21";"-20";"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[ethylene N,N'-adipoyldi(6-aminocaproate)]";"";"398.5";"163";"1792";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene adipoyldiurethane)";"";"258.23";"210";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-acetyl-ethylene amine)";"";"85.11";"200";"747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-benzoyl-ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-p-chlorobenzoyl-ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-butyryl-ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-4-(4-methylthiophenyoxy)-butyryl-ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-cyclohexanecarbonyl-ethylene amine)";"";"153.22";"285";"747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-dodecanoyl-ethylene amine)";"";"225.38";"155";"747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-heptanoyl-ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-hexanoyl-ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-isobutyryl-ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-isovaleryl-ethylene amine)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-2-naphthoyl-ethylene amine)";"";"197.24";"258";"747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N-octadecanoyl-ethylene amine)";"";"309.54";"145";"747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
