sep=;
"Title: Polymer Handbook (4th Edition)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Melting Points of Polymers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"polymer";"synonyms/comments";"mol. weight";"melting pt. (°C)";"refs.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(isobutylene sulfide)";"";"88.17";"187";"548";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(4,4'-isobutylidenediphenylene carbonate)";"";"268.31";"180";"438";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(isobutylvinyl ether)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(isobutyraldehyde)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(isophthalaldehyde)";"";"134.13";"80";"1801";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(isophthalic anhydride)";"";"148.12";"259";"1565";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthalic 2,2'-(isophthaloyldiamino)-dibenzoic anhydride]";"";"534.48";"259";"1871";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthalic (4,4'-isopropylidenediphenylenedioxy)-diacetic anhydride]";"";"474.46";"65";"1871";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthalic 3,3'-dimethoxy-4,4'-(methylenedioxy)-dibenzoic anhydride]";"";"478.41";"228";"1871";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthalic (p-phenylenedioxy)-diacetic anhydride]";"";"356.29";"297";"1871";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthalic 2,2'-(terephthaloyldiamino)-dibenzoic anhydride]";"";"534.48";"291";"1871";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthalic 4,4'-(tetramethylenedioxy)-dibenzoic anhydride]";"";"460.44";"100";"1871";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthalic 4,4'-(trimethylenedioxy)-dibenzoic anhydride]";"";"446.41";"165";"1871";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthalic 3,3'-dimethoxy-4,4'-(trimethylenedioxy)-dibenzoic anhydride]";"";"506.46";"216";"1871";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthaloyl (m-carboxyphenoxyacetyl)-dihydrazide]";"";"354.32";"125";"1833";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthaloyl (m-carboxyphenoxybutyryl)-dihydrazide]";"";"382.38";"265";"1833";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthaloyl (m-carboxyphenoxycapryl)-dihydrazide]";"";"410.43";"249";"1833";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isophthaloyl (m-carboxyphenoxypropionyl)-dihydrazide]";"";"368.35";"238";"1833";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[2,2'-(isophthaloyldiamino)-dibenzoic terephthalic anhydride]";"";"534.48";"264";"1871";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(isophthaloyl dithionisophthaloyldihydrazide)";"";"356.42";"324";"1889";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(isoprene)";"see Poly(2-methyl-1,3-butadiene)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(isopropenylmethyl ketone)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(4,4'-isopropylidenedibenzoic anhydride)";"";"266.3";"235";"1854";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(4,4'-isopropylidenedibenzoic anhydride)";"";"266.3";"240";"1855";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[isopropylidenedimethylene, 4,4'-(methylenediphenylene)-diurethane]";"";"354.41";"190";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
