sep=;
"Title: Polymer Handbook (4th Edition)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Melting Points of Polymers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"polymer";"synonyms/comments";"mol. weight";"melting pt. (°C)";"refs.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene 2,2'-dibenzoate)";"";"312.32";"95";"1654";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene 3,3'-dibenzoate)";"";"312.32";"75";"1552";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene 4,4'-dibenzoate)";"";"312.32";"170";"1654";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[(oxydiethylene)-dioxydibenzoic anhydride]";"";"328.32";"190";"1854";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[4,4'-(oxydiethylenedioxydiethylenedioxy)-diphenylene 3,3',4,4'-(carbonyldiphenylene)- tetracarboximide]";"";"660.64";"360";"1808";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[4,4'-(oxydiethylenedioxy)-diphenylene 3,3',4,4'-(carbonyldiphenylene)-tetracarboximide]";"";"572.53";"402";"1808";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[3,4'-(oxydiethylenedioxy)-diphenylene] 3,3',4,4'-(oxydiphenylene)-tetracarboximide]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene 4,4'-ethylenedibenzoate)";"";"340.38";"105";"1654";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene glutarate)";"";"202.21";"-22";"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene hexamethylenediurethane)";"";"274.32";"120";"633";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene isophthalate)";"";"236.22";"90";"1654";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene malonate)";"";"174.15";"-11";"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene 4,4'-methylenedibenzoate)";"";"326.35";"145";"1654";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene oxalate)";"";"160.13";"10";"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene oxydiacetate)";"";"204.18";"6";"1798";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[(oxydiethylene)-oxy-p-phenylene oxide]";"";"180.2";"136";"1868";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene phthalate)";"";"236.22";"11";"1794";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene pimelate)";"";"230.26";"-26";"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene sebacate)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene suberate)";"";"244.29";"35";"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene succinate)";"";"188.18";"-8";"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene sulfonyldivalerate)";"";"304.34";"66";"1797";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene terephthalate)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydiethylene thiodivalerate)";"";"304.4";"-35";"767";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[(oxydimethylenedioxy)-dibenzoic anhydride]";"";"300.27";"192";"1854";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydipentamethylene 5-oxadodecanediamide)";"";"384.56";"102";"1847";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(oxydipentamethylene 6-oxadodecanediamide)";"";"384.56";"100";"1847";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
