ID,Name,Polymer Smiles,Monomer Smiles 1,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR
P010026,Others,*CC(*)CC1CCCCC1, C=CCC1CCCCC1,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,58.6529567894732,0.0,3.2622000000000018,39.749
P010027,Others,*CC(*)Cc1ccccc1, C=CCc1ccccc1,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.52622946268679,0.0,2.5345000000000004,38.70300000000002
P010027,Others,*CC(*)Cc1ccccc1, C=CCc1ccccc1,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.52622946268679,0.0,2.5345000000000004,38.70300000000002
P010027,Others,*CC(*)Cc1ccccc1, C=CCc1ccccc1,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.52622946268679,0.0,2.5345000000000004,38.70300000000002
P010027,Others,*CC(*)Cc1ccccc1, C=CCc1ccccc1,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.52622946268679,0.0,2.5345000000000004,38.70300000000002
P010028,Others,*CC(*)CCc1ccccc1, C=CCCc1ccccc1,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,62.89117157708339,0.0,2.9246000000000016,43.32000000000003
P010029,Others,CC(C(*)C*)c1ccccc1, CC(C=C)c1ccccc1,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,62.89117157708339,0.0,3.0955000000000013,43.41400000000003
P010033,Others,*CC1CCC(*)C1, C=CCCC=C,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,39.55813044628336,0.0,2.0919,25.897999999999985
P010040,Others,CCCCCCC(*)C*, CCCCCCC=C,0.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.29384582860581,0.0,3.2622000000000018,37.316
P010040,Others,CCCCCCC(*)C*, CCCCCCC=C,0.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.29384582860581,0.0,3.2622000000000018,37.316
