wavenumber,intensity
3201.2,0
3200.6,0
3200.01,0
3199.41,0
3198.82,0
3198.23,0
3197.63,0
3197.04,0
3196.44,0
3195.85,0
3195.25,0
3194.66,0
3194.07,0
3193.47,0
3192.88,0
3192.28,0
3191.69,0
3191.09,0
3190.5,0
3189.9,0
3189.31,0
3188.71,0
3188.11,0
3187.52,0
3186.92,0
3186.33,0
3185.73,0
3185.14,0
3184.54,0
3183.94,0
3183.35,0
3182.75,0
3182.15,0
3181.56,0
3180.96,0
3180.36,0
3179.77,0
3179.17,0
3178.57,0
3177.98,0
3177.38,0
3176.78,0
3176.18,0
3175.59,0
3174.99,0
3174.39,0
3173.79,0
3173.2,0
3172.6,0
3172,0
3171.4,0
3170.8,0
3170.21,0
3169.61,0
3169.01,0
3168.41,0
3167.81,0
3167.21,0
3166.61,0
3166.02,0
3165.42,0
3164.82,0
3164.22,0
3163.62,0
3163.02,0
3162.42,0
3161.82,0
3161.22,0
3160.62,0
3160.02,0
3159.42,0
3158.82,0
3158.22,0
3157.62,0
3157.02,0
3156.42,0
3155.82,0
3155.22,0
3154.62,0.00129983499214083
3154.02,0
3153.42,0.00139568845603227
3152.82,0.00142940105084815
3152.22,0.00145731174356455
3151.62,0.00151602770335826
3151.01,0.00153853272885054
3150.41,0.00154635560721754
3149.81,0.00154360467746764
3149.21,0.00146712859499583
3148.61,0.0015472651301251
3148.01,0.00152237772286082
3147.41,0.00158288968085833
3146.8,0.00160693764952285
3146.2,0.00165880230337883
3145.6,0.0017733186603762
3145,0.00179461129213117
3144.4,0.00183431260867244
3143.79,0.00187714304410266
3143.19,0.00176284203204262
3142.59,0.00188359488405307
3141.99,0.00188395326307591
3141.38,0.00182828251334683
3140.78,0.00182887971574088
3140.18,0.00183375681072183
3139.58,0.00177685080314842
3138.97,0.00178176287904254
3138.37,0.00177273769528124
3137.77,0.00184164363753783
3137.16,0.00183777946260123
3136.56,0.00182318810664984
3135.96,0.0018515763604244
3135.35,0.0018915872081735
3134.75,0.00185867162778123
3134.14,0.00178338070263356
3133.54,0.00187870037289433
3132.94,0.00188024176399712
3132.33,0.00176807517209962
3131.73,0.00176399639093439
3131.12,0.00175133757269055
3130.52,0.00178942108643127
3129.92,0.00194939224433025
3129.31,0.00192593999451001
3128.71,0.00191422521437713
3128.1,0.00190959109736114
3127.5,0.00175656135781574
3126.89,0.00179200260150762
3126.29,0.00180063396409485
3125.68,0.00179928746832129
3125.08,0.00188610384495835
3124.47,0.0020018752674113
3123.87,0.00216010965407332
3123.26,0.00217192820846681
3122.66,0.00214240719151008
3122.05,0.0022288405909566
3121.45,0.00195554872960925
3120.84,0.00188150577270883
3120.23,0.00192869633944501
3119.63,0.00191353432344301
3119.02,0.00208519011478256
3118.42,0.00224246528439549
3117.81,0.00237255234704375
3117.2,0.00250621974561569
3116.6,0.0025718757564698
3115.99,0.00247739165619334
3115.38,0.00243003409613953
3114.78,0.00232522137697519
3114.17,0.00233696397702412
3113.56,0.00218858781765066
3112.96,0.00223003344061618
3112.35,0.00212668825167592
3111.74,0.00220001280632778
3111.14,0.00214018035237842
3110.53,0.00217099937018812
3109.92,0.00215399931194054
3109.31,0.00235807073440871
3108.71,0.00243114072793538
3108.1,0.00274437413849882
3107.49,0.0027589304206789
