0.10,40.27,-0.106
0.10,40.29,-0.108
0.10,40.30,-0.110
0.11,40.32,-0.112
0.11,40.33,-0.114
0.11,40.35,-0.116
0.11,40.36,-0.117
0.11,40.38,-0.119
0.11,40.39,-0.121
0.12,40.41,-0.122
0.12,40.43,-0.125
0.12,40.44,-0.127
0.12,40.46,-0.129
0.12,40.48,-0.131
0.12,40.50,-0.132
0.13,40.52,-0.134
0.13,40.54,-0.134
0.13,40.55,-0.136
0.13,40.57,-0.137
0.13,40.59,-0.138
0.13,40.61,-0.139
0.14,40.63,-0.141
0.14,40.65,-0.143
0.14,40.67,-0.145
0.14,40.70,-0.146
0.14,40.72,-0.148
0.14,40.74,-0.150
0.14,40.76,-0.152
0.15,40.78,-0.153
0.15,40.81,-0.155
0.15,40.83,-0.157
0.15,40.85,-0.159
0.15,40.87,-0.161
0.16,40.90,-0.163
0.16,40.92,-0.164
0.16,40.94,-0.166
0.16,40.97,-0.167
0.16,40.99,-0.168
0.16,41.01,-0.170
0.16,41.04,-0.171
0.17,41.06,-0.173
0.17,41.09,-0.174
0.17,41.11,-0.177
0.17,41.14,-0.179
0.17,41.16,-0.182
0.18,41.19,-0.183
0.18,41.21,-0.184
0.18,41.24,-0.186
0.18,41.26,-0.187
0.18,41.29,-0.188
0.18,41.31,-0.190
0.19,41.34,-0.192
0.19,41.36,-0.194
0.19,41.39,-0.197
0.19,41.42,-0.199
0.19,41.44,-0.201
0.19,41.47,-0.203
0.19,41.49,-0.205
0.20,41.52,-0.206
0.20,41.55,-0.208
0.20,41.58,-0.209
0.20,41.60,-0.211
0.20,41.63,-0.212
0.21,41.66,-0.214
0.21,41.68,-0.216
0.21,41.71,-0.218
0.21,41.74,-0.219
0.21,41.77,-0.221
0.21,41.79,-0.223
0.21,41.82,-0.226
0.22,41.85,-0.227
0.22,41.88,-0.229
0.22,41.90,-0.230
0.22,41.93,-0.232
0.22,41.96,-0.233
0.23,41.99,-0.234
0.23,42.02,-0.236
0.23,42.05,-0.237
0.23,42.07,-0.239
0.23,42.10,-0.240
0.23,42.13,-0.241
0.24,42.16,-0.243
0.24,42.19,-0.244
0.24,42.22,-0.246
0.24,42.25,-0.248
0.24,42.28,-0.249
0.24,42.31,-0.250
0.24,42.33,-0.251
0.25,42.36,-0.253
0.25,42.39,-0.255
0.25,42.42,-0.256
0.25,42.45,-0.256
0.25,42.48,-0.258
0.26,42.51,-0.260
0.26,42.54,-0.261
0.26,42.57,-0.262
0.26,42.60,-0.263
0.26,42.63,-0.264
0.26,42.66,-0.264
0.26,42.69,-0.266
0.27,42.72,-0.267
0.27,42.75,-0.269
0.27,42.78,-0.270
0.27,42.81,-0.272
0.27,42.84,-0.273
0.28,42.87,-0.274
0.28,42.90,-0.275
0.28,42.93,-0.275
0.28,42.96,-0.275
0.28,42.99,-0.277
0.28,43.03,-0.277
0.29,43.06,-0.278
0.29,43.09,-0.279
0.29,43.12,-0.280
0.29,43.15,-0.280
0.29,43.18,-0.280
0.29,43.21,-0.281
0.30,43.24,-0.282
0.30,43.27,-0.282
0.30,43.30,-0.284
0.30,43.33,-0.285
0.30,43.37,-0.286
0.30,43.40,-0.286
0.30,43.43,-0.287
0.31,43.46,-0.288
0.31,43.49,-0.289
0.31,43.52,-0.290
0.31,43.55,-0.291
0.31,43.58,-0.292
0.31,43.62,-0.293
0.32,43.65,-0.295
0.32,43.68,-0.296
0.32,43.71,-0.298
0.32,43.74,-0.298
0.32,43.77,-0.299
0.33,43.81,-0.299
0.33,43.84,-0.298
0.33,43.87,-0.298
0.33,43.90,-0.299
0.33,43.93,-0.299
0.33,43.96,-0.300
0.34,43.99,-0.301
0.34,44.03,-0.301
0.34,44.06,-0.302
0.34,44.09,-0.303
0.34,44.12,-0.304
0.34,44.15,-0.305
0.35,44.19,-0.305
0.35,44.22,-0.305
0.35,44.25,-0.306
0.35,44.28,-0.306
0.35,44.31,-0.307
0.35,44.35,-0.307
0.35,44.38,-0.308
0.36,44.41,-0.308
0.36,44.44,-0.309
0.36,44.47,-0.309
0.36,44.51,-0.310
0.36,44.54,-0.311
0.36,44.57,-0.312
0.37,44.60,-0.312
0.37,44.63,-0.313
0.37,44.67,-0.313
0.37,44.70,-0.313
0.37,44.73,-0.313
0.38,44.76,-0.314
0.38,44.80,-0.314
0.38,44.83,-0.315
0.38,44.86,-0.315
0.38,44.89,-0.316
0.38,44.92,-0.317
0.39,44.96,-0.317
0.39,44.99,-0.318
0.39,45.02,-0.318
0.39,45.05,-0.318
0.39,45.09,-0.318
0.39,45.12,-0.318
0.40,45.15,-0.319
0.40,45.18,-0.319
0.40,45.22,-0.320
0.40,45.25,-0.320
0.40,45.28,-0.320
0.40,45.31,-0.321
0.40,45.35,-0.322
0.41,45.38,-0.322
0.41,45.41,-0.323
0.41,45.44,-0.323
0.41,45.48,-0.323
0.41,45.51,-0.324
0.41,45.54,-0.324
0.42,45.57,-0.324
0.42,45.61,-0.324
0.42,45.64,-0.324
0.42,45.67,-0.325
0.42,45.70,-0.325
0.43,45.74,-0.326
0.43,45.77,-0.326
0.43,45.80,-0.327
0.43,45.84,-0.327
0.43,45.87,-0.327
0.43,45.90,-0.327
0.44,45.94,-0.327
0.44,45.97,-0.328
0.44,46.00,-0.328
0.44,46.03,-0.328
0.44,46.07,-0.328
0.44,46.10,-0.329
0.45,46.13,-0.329
0.45,46.16,-0.329
0.45,46.20,-0.330
0.45,46.23,-0.330
0.45,46.26,-0.330
0.45,46.30,-0.330
0.45,46.33,-0.330
0.46,46.36,-0.330
0.46,46.39,-0.330
0.46,46.43,-0.330
0.46,46.46,-0.331
0.46,46.49,-0.331
0.46,46.52,-0.332
0.47,46.56,-0.332
0.47,46.59,-0.332
0.47,46.62,-0.332
0.47,46.66,-0.333
0.47,46.69,-0.333
0.48,46.72,-0.333
0.48,46.75,-0.333
0.48,46.79,-0.333
0.48,46.82,-0.333
0.48,46.85,-0.333
0.48,46.89,-0.333
0.49,46.92,-0.334
0.49,46.95,-0.334
0.49,46.98,-0.334
0.49,47.02,-0.334
0.49,47.05,-0.334
0.49,47.08,-0.334
0.50,47.12,-0.334
0.50,47.15,-0.335
0.50,47.18,-0.335
0.50,47.22,-0.335
0.50,47.25,-0.335
0.50,47.28,-0.336
0.50,47.31,-0.336
0.51,47.35,-0.336
0.51,47.38,-0.336
0.51,47.41,-0.336
0.51,47.45,-0.336
0.51,47.48,-0.336
0.51,47.51,-0.336
0.52,47.54,-0.337
0.52,47.58,-0.337
