polymer,mp,mw
"Poly(2,6-diisopropyl-4,4'-oxydiphenylene m-phenylenediketone)",185.0,384.48
Poly(2-(p-toluenesulfonamido)-3-mercaptopropionic acid),250.0,257.33
Poly(2-bromomethyl-2-chloromethyl-trimethylene adipate) (diol),111.0,327.6
Poly(2-butyl-2-ethyl-trimethylene hexamethylenediurethane) (diol),60.0,314.43
Poly(2-chloroethylvinyl ether),150.0,106.55
Poly(2-chloromethyl-propylene oxide),126.0,106.55
"Poly(2-ethyl-2'-isopropyl-4,4'-oxydiphenylene m-phenylenediketone)",228.0,370.45
Poly(2-hydroxy-trimethylene adipoyldiurethane) (diol),208.0,288.26
Poly(2-hydroxy-trimethylene sebacoyldiurethane) (diol),189.0,344.36
"Poly(2-isopropyl-2'-methyl-4,4'-oxydiphenylene m-phenylenediketone)",220.0,356.42
"Poly(2-isopropyl-2'-methyl-4,4'-oxydiphenylene p-phenylenediketone)",262.0,356.42
Poly(2-mercaptoacetic acid),169.0,74.1
Poly(2-methoxyethylvinyl ether),73.0,102.13
Poly(2-methyl-2-mercaptoacetic acid),152.0,88.13
Poly(2-methyl-divinylbenzal),95.0,190.24
Poly(2-methyl-p-phenylene sulfide),100.0,122.18
Poly(2-methyl-vinyl alcohol),140.0,58.08
Poly(2-phthalimido-3-mercaptopropionic acid),260.0,233.24
"Poly(3'',3'''-dimethoxy-4,4'-oxydiphenylene-4'',4'''-dibenzylidenimino adipate)",135.0,578.62
"Poly(3'',3'''-dimethoxy-4,4'-oxydiphenylene-4'',4'''-dibenzylidenimino isophthalate)",185.0,598.61
"Poly(3'',3'''-dimethoxy-4,4'-oxydiphenylene-4'',4'''-dibenzylidenimino sebacate)",140.0,634.73
"Poly(3',3''-dimethoxy-p-phenylene-4',4''-dibenzylidenimino adipate)",135.0,486.52
"Poly(3',3''-dimethoxy-p-phenylene-4',4''-dibenzylidenimino isophthalate)",230.0,506.52
"Poly(3',3''-dimethoxy-p-phenylene-4',4''-dibenzylidenimino sebacate)",120.0,542.63
"Poly(3,3',5,5'-tetrabromo-4,4'-isopropylidenediphenylene carbonate)",263.5,569.87
"Poly(3,3',5,5'-tetrachloro-4,4'-isopropylidenediphenylene carbonate)",267.5,392.06
"Poly(3,3',5,5'-tetrachloro-4,4'cyclohexylidenediphenylene carbonate)",270.0,427.09
"Poly(3,3'-dichloro-4,4'-isopropylidenediphenylene carbonate)",220.0,323.18
"Poly(3,3'-diisopropyl-4,4'-isopropylidenediphenylene carbonate)",110.0,338.45
"Poly(3,3'-dimethyl-4,4'-isopropylidenediphenylene carbonate)",170.0,282.34
"Poly(3,3'-dimethyl-4,4'-methylenediphenylene N,N'-dibutyl-adipamide) (diamine)",57.0,448.65
"Poly(3,3'-dimethyl-4,4'-methylenediphenylene N,N'-diethyl-adipamide) (diamine)",79.0,392.54
"Poly(3,3'-dimethyl-4,4'-methylenediphenylene N,N'-diisopropyl-adipamide) (diamine)",61.0,420.6
"Poly(3,3'-dimethyl-4,4'-methylenediphenylene adipamide) (diamine)",326.0,336.44
"Poly(3,3'-dimethyl-4,4'-methylenediphenylene carbonate)",250.0,254.29
"Poly(3,3'-dimethyl-4,4'-methylenediphenylene sebacamide) (diamine)",227.0,392.54
"Poly(3,3-bisbromomethyl-oxacyclobutane) [3,3-bisbromomethyl-trimethylene oxide]",220.0,243.93
"Poly(3,3-bisfluoromethyl-oxacyclobutane) [3,3-bisfluoromethyl-trimethylene oxide]",135.0,122.12
"Poly(3,3-bishydroxymethyl-oxacyclobutane) [3,3-bishydroxymethyl-trimethylene oxide]",280.0,118.13
"Poly(3,3-bisiodomethyl-oxacyclobutane) [3,3-bisiodomethyl-trimethylene oxide]",290.0,337.93
"Poly(3,3-diethyl-trimethylene sulfide)",85.0,130.25
"Poly(3,3-dimethyl-trimethylene sulfone)",284.5,134.19
"Poly(3,4'-oxydiphenylene adipamide)",225.0,310.35
"Poly(3,4'-oxydiphenylene azelamide)",150.0,352.43
"Poly(3,4'-oxydiphenylene dodecanediamide)",150.0,394.52
"Poly(3,4'-oxydiphenylene pimelamide)",170.0,324.38
"Poly(3,4'-oxydiphenylene sebacamide)",165.0,366.46
"Poly(3,4'-oxydiphenylene suberamide)",175.0,338.41
"Poly(3,4'-oxydiphenylene undecanediamide)",140.0,380.49
"Poly(3,4-dihydro-4-methyl-cyclohexylidenedimethylene oxide)",155.0,138.21
"Poly(3,4-dihydro-cyclohexylidenedimethylene oxide)",102.0,124.18
"Poly(3,4-dimethyl-3-phenylpropene)",275.0,146.23
