polymer,mp,mw
Poly(cyclopropylenedimethylene terephthalate),130.0,232.24
"Poly(decamethylene 2,4-pyridinedicarboxamide)",190.0,303.41
"Poly(decamethylene 2,5-furandicarboxamide)",130.0,292.38
"Poly(decamethylene 2,5-furandipropionamide)",140.0,348.49
"Poly(decamethylene 2,5-pyridinedicarboxamide)",232.0,303.41
"Poly(decamethylene 2,5-tetrahydrofurandipropionamide)",178.0,352.52
"Poly(decamethylene 2,5-thiophenedicarboxamide)",250.0,308.44
"Poly(decamethylene 2,6-pyridinedicarboxamide)",200.0,303.41
"Poly(decamethylene 3,3'-dibenzoate)",90.0,380.48
"Poly(decamethylene 3,3'-dimethyl-4,4'-biphenylenediurethane) (diisocyanate)",219.0,438.57
"Poly(decamethylene 3,3'-methylenedibenzamide)",65.0,392.54
"Poly(decamethylene 3,5-pyridinedicarboxamide)",210.0,303.41
"Poly(decamethylene 4,4'-dibenzoate)",132.0,380.48
"Poly(decamethylene 4,4'-ethylidenedibenzamide)",150.0,406.57
"Poly(decamethylene 4,4'-methylenedibenzamide)",100.0,392.54
"Poly(decamethylene 4,4'-methylenediphenylenediurea)",246.0,422.57
"Poly(decamethylene N,N'-ethylenediterephthalamate)",277.0,494.59
"Poly(decamethylene N,N'-hexamethylenediterephthalamate)",235.0,550.7
"Poly(decamethylene N,N'-pentamethylenediterephthalamate)",205.0,536.67
"Poly(decamethylene N,N'-tetramethylenediterephthalamate)",261.0,522.64
"Poly(decamethylene N,N'-trimethylenediterephthalamate)",222.0,508.61
Poly(decamethylene adipoyldiurethane),164.0,370.45
Poly(decamethylene carbonate),55.0,200.28
Poly(decamethylene decamethylenediurethane),143.5,398.59
Poly(decamethylene disulfide),65.0,204.39
Poly(decamethylene dithioladipate),75.0,316.53
Poly(decamethylene dithiolsebacate),103.0,372.63
Poly(decamethylene dithiolterephthalate),201.0,336.52
Poly(decamethylene docosanediamide),169.0,506.86
Poly(decamethylene dodecamethylenediurea),190.0,424.67
Poly(decamethylene dodecanediamide),191.5,366.59
Poly(decamethylene eicosanediamide),171.0,478.8
Poly(decamethylene hexamethylenediurea),213.0,340.51
Poly(decamethylene isophthalamide),186.0,302.42
Poly(decamethylene m-carboxycarbanilate),127.0,319.4
Poly(decamethylene ocatadecanediamide),170.0,450.75
Poly(decamethylene oxamide),257.0,226.32000000000002
Poly(decamethylene oxamide-alt-decamethylene sebacamide),231.0,564.86
Poly(decamethylene oxydiacetate),64.0,272.34
Poly(decamethylene p-carboxycarbanilate),158.0,319.4
Poly(decamethylene p-phenylenediacetamide),253.5,330.47
Poly(decamethylene p-phenylenedipropionamide),268.0,358.53
Poly(decamethylene p-xylylenediurea),260.0,360.5
Poly(decamethylene p-xylylenediurethane),147.0,362.47
Poly(decamethylene phthalamide),115.0,302.42
Poly(decamethylene pimelate),66.0,298.42
Poly(decamethylene sebacoyldiurethane),153.0,426.55
Poly(decamethylene suberamide),212.5,310.48
Poly(decamethylene sulfide),84.5,172.33
Poly(decamethylene sulfonyldivalerate),101.0,404.56
Poly(decamethylene terephthalamide),276.0,302.42
Poly(decamethylene tetradecamethylenediurea),180.0,452.73
Poly(decamethylene tetradecanediamide),189.0,394.64
Poly(decamethylene tetramethylenediurethane),171.0,314.43
Poly(decamethylene thiodivalerate),57.0,372.56
Poly(decamethylene urea),202.33333333333334,198.31000000000003
Poly(decamethyleneaminohexamethylene amine),102.0,254.46
Poly(decamethylenedithioethylene disulfide),80.0,296.56
Poly(decamethylenedithiotetramethylene disulfide),57.0,324.62
Poly(decamethyleneoxymethylene oxide),57.0,186.3
Poly(decamethylenethiohexamethylene sulfide),78.0,288.55
Poly(decamethylenetridecanediamide),175.0,380.62
Poly(decyl-hexamethylene malonamide) (diacid),133.5,324.51
"Poly(di-1,4-naphthyleneoxyethylene oxide)",291.0,312.37
"Poly(di-1,4-naphthyleneoxyheptamethylene oxide)",239.0,382.5
"Poly(di-1,4-naphthyleneoxyhexamethylene oxide)",280.0,368.48
"Poly(di-1,4-naphthyleneoxypentamethylene oxide)",196.0,354.45
"Poly(di-1,4-naphthyleneoxytetramethylene oxide)",324.0,340.42
"Poly(di-1,4-naphthyleneoxytrimethylene oxide)",278.0,326.4
Poly(di-m-trifluoromethyl-bis-phenoxy-di-phosphazene),330.0,367.19
Poly(di-p-toluylmethylene),180.0,194.28
Poly(diethyl-2-hydroxyacetic acid) [diethylglycolic acid],200.0,114.14
Poly(dimethyl-2-hydroxyacetic acid) [dimethylglycolic acid],190.0,86.09
Poly(dimethyl-3-phenoxy-propylene oxide),125.0,178.23
Poly(dimethyl-hexamethylene malonamide) (diacid),117.0,212.19
"Poly(diphenyl-4,4'-methylenediphenylene carbonate)",230.0,378.43
Poly(diphenylmethylene),220.0,166.22
Poly(dithiodiethylene sebacamide),155.0,318.49
Poly(divinylbenzal),100.0,176.22
Poly(divinylfurfural),145.0,166.18
"Poly(dodecamethylene 3,3'-dimethyl-4,4'-biphenylenediurethane) (diisocyanate)",219.0,466.62
"Poly(dodecamethylene 4,4'-methylenediphenylenediurea)",240.0,450.63
"Poly(dodecamethylene 4,4'-methylenediphenylenediurethane)",164.0,452.59
"Poly(dodecamethylene N,N'-ethylenediterephthalamate)",264.0,522.64
"Poly(dodecamethylene N,N'-hexamethylenediterephthalamate)",231.0,578.75
"Poly(dodecamethylene N,N'-pentamethylenediterephthalamate)",206.0,564.72
"Poly(dodecamethylene N,N'-tetramethylenediterephthalamate)",258.0,550.7
"Poly(dodecamethylene N,N'-trimethylenediterephthalamate)",216.0,536.67
Poly(dodecamethylene adipamide),220.0,310.48
Poly(dodecamethylene decamethylenediurethane),133.0,426.64
Poly(dodecamethylene docosanediamide),164.0,534.92
Poly(dodecamethylene dodecamethylenediurethane),128.0,454.7
Poly(dodecamethylene dodecanediamide),183.0,394.64
Poly(dodecamethylene hexamethylenediurea),221.5,368.57
Poly(dodecamethylene hexamethylenediurethane),139.0,370.53
Poly(dodecamethylene octadecanediamide),167.0,478.8
Poly(dodecamethylene oxamide-alt-dodecamethylene sebacamide),217.0,620.96
Poly(dodecamethylene p-phenylenediacetamide),256.0,358.53
Poly(dodecamethylene p-phenylenedipropionamide),263.0,386.58
Poly(dodecamethylene p-xylylenediurea),258.0,388.56
Poly(dodecamethylene p-xylylenediurethane),178.0,390.52
Poly(dodecamethylene terephthalamide),298.5,330.47
Poly(dodecanedioic anhydride),87.0,212.29
Poly(dodecyl-hexamethylene malonamide) (diacid),133.0,352.56
Poly(dodecyl-nonamethylene malonamide) (diacid),127.0,394.64
Poly(dodecyl-octamethylene malonamide) (diacid),125.0,380.62
Poly(dodecyl-pentamethylene malonamide) (diacid),208.0,338.54
Poly(dodecyl-tetramethylene malonamide) (diacid),201.0,324.51
Poly(dodecyldecamethylene malonamide) (diacid),123.0,408.67
Poly(dodecylheptamethylene malonamide) (diacid),147.0,366.59
"Poly(eicosamethylene 3,3'-dibenzoate)",91.0,520.76
"Poly(eicosamethylene 4,4'-dibenzoate)",115.0,520.76
Poly(eicosamethylene adipate),87.0,424.67
Poly(eicosamethylene azelate),87.0,466.75
Poly(eicosamethylene glutarate),80.0,410.64
Poly(eicosamethylene malonate),69.0,382.58
Poly(eicosamethylene oxalate),90.0,368.56
Poly(eicosamethylene oxydiacetate),89.0,412.61
Poly(eicosamethylene phthalate),52.0,444.66
Poly(eicosamethylene pimelate),84.0,438.69
Poly(eicosamethylene sebacate),92.0,480.78
Poly(eicosamethylene suberate),88.0,452.72
Poly(eicosamethylene succinate),89.0,396.61
Poly(eicosamethylene sulfonyldivalerate),117.0,544.83
Poly(eicosamethylene terephthalate),113.0,444.66
Poly(eicosamethylene thiodivalerate),79.0,512.84
"Poly(ethylene 1,4-piperazinedipropionamide)",231.0,254.33
"Poly(ethylene 1,4-piperazinedipropionate)",93.0,256.3
"Poly(ethylene 1,5-naphthalate)",230.0,242.23
"Poly(ethylene 2,2'-dibenzoate)",130.0,268.27
"Poly(ethylene 2,4-hexadienediamide)",61.0,166.18
"Poly(ethylene 2,5-tetrahydrofurandipropionamide)",218.0,240.3
"Poly(ethylene 2,7-naphthalate)",270.0,242.23
"Poly(ethylene 3,3'-dibenzoate)",122.0,268.27
Poly(ethylene 3-(p-nitro)-glutarate),76.0,279.25
"Poly(ethylene 4,4'-ethylenedibenzoate)",266.0,296.32
"Poly(ethylene 4,4'-hexamethylenedibenzoate)",160.0,352.43
"Poly(ethylene 4,4'-methylenedibenzoate)",270.0,282.3
"Poly(ethylene 4,4'-oxydibenzoate)",143.0,284.27
"Poly(ethylene 4,4'-tetramethylenedibenzoate)",170.0,324.38
"Poly(ethylene 4,4'-thiodibenzoate)",200.0,300.33
"Poly(ethylene N,N'-lysyldiurea) methyl ester",160.0,272.3
"Poly(ethylene N,N'-trimethylenediterephthalamate)",205.0,396.4
Poly(ethylene adipamide),310.0,170.21
Poly(ethylene adipoyldiurethane),210.0,258.23
Poly(ethylene azelamide-alt-ethylene oxamide),343.0,326.4
"Poly(ethylene dithiol-2,5-pyridinedicarboxylate)",280.0,252.29
Poly(ethylene dithioladipate),125.0,204.31
Poly(ethylene dithiolisophthalate),185.0,224.3
Poly(ethylene dithiolterephthalate),340.0,224.29
Poly(ethylene dithionisophthalate),80.0,224.29
Poly(ethylene dithiotetramethylene disulfide),92.0,212.4
Poly(ethylene dodecanediamide),261.0,254.37
Poly(ethylene hexamethylenediurea),266.5,228.3
Poly(ethylene m-phenylenedisulfonamide),182.0,262.3
Poly(ethylene methylisophthalate) (diol),87.0,206.2
Poly(ethylene oxamide-alt-ethylene sebacamide),323.0,340.42
Poly(ethylene oxamide-alt-ethylene suberamide),348.0,312.37
Poly(ethylene p-oxyphenyleneacetate),172.0,178.19
Poly(ethylene p-phenylenediacetate),122.0,220.22
Poly(ethylene phthalamide),250.0,190.2
Poly(ethylene phthalate),104.0,192.17
Poly(ethylene sebacamide),270.0,226.32000000000002
Poly(ethylene sebacoyldiurea),228.0,312.37
Poly(ethylene sebacoyldiurethane),198.0,314.34
Poly(ethylene sulfonyldivalerate),86.0,292.35
Poly(ethylene thiodienanthamide),210.0,314.49
Poly(ethylene thiodivaleramide),220.0,258.38
Poly(ethylene-p-oxy-m-chloro-benzoate),285.0,198.61
Poly(ethylene-p-oxy-m-methyl-benzoate),292.0,178.19
Poly(ethylene-p-oxy-o-chloro-benzoate),153.0,198.61
Poly(ethylene-p-oxy-o-methyl-benzoate),157.0,178.19
Poly(ethylenedithiohexamethylene disulfide),104.5,240.56
Poly(ethyleneoxy-p-phenylene oxide),270.0,136.15
Poly(ethylenethiohexamethylene sulfide),86.0,176.34
Poly(ethylenethiotetramethylene sulfide),89.0,148.29
Poly(ethylidene p-phenylene),205.0,104.15
Poly(ethylvinyl ether),86.0,72.11
Poly(fluoromethylethylene oxide),68.0,76.07
Poly(furfural-alt-dimethylketene),180.0,166.18
Poly(heptadecyl-hexamethylene malonamide) (diacid),166.0,422.7
"Poly(heptamethylene 2,5-tetrahydrofurandipropionamide)",148.0,310.44
Poly(heptamethylene 4-octenediamide),249.0,266.38
"Poly(heptamethylene N,N'-ethylenediterephthalamate)",275.0,452.51
"Poly(heptamethylene N,N'-hexamethylenediterephthalamate)",227.0,508.61
"Poly(heptamethylene N,N'-pentamethylenediterephthalamate)",199.0,494.59
"Poly(heptamethylene N,N'-tetramethylenediterephthalamate)",269.0,480.56
"Poly(heptamethylene N,N'-trimethylenediterephthalamate)",222.0,466.53
Poly(heptamethylene disulfide),130.0,162.31
Poly(heptamethylene hexamethylenediurea),243.0,298.43
Poly(heptamethylene oxamide-alt-heptamethylene sebacamide),248.0,480.69
Poly(heptamethylene p-phenylenediacetamide),234.0,288.39
Poly(heptamethylene terephthalamide),333.0,260.34
Poly(heptametylene undecanediamide),195.0,310.48
Poly(heptyl-hexamethylene malonamide) (diacid),135.0,282.43
"Poly(hexadecamethylene 4,4'-(methylenediphenylene)-diurethane]",152.0,508.7
Poly(hexadecamethylene decamethylenediurethane),128.0,482.75
Poly(hexadecamethylene hexamethylenediurethane),134.0,426.64
Poly(hexadecamethylene p-xylylenediurethane),168.0,446.63
Poly(hexadecyl-hexamethylene malonamide) (diacid),162.0,408.67
Poly(hexamethyelene oxydivaleramide),180.0,298.43
"Poly(hexamethylene 1,2-cyclohexylenediacetamide)",255.0,280.41
"Poly(hexamethylene 1,4-dihydro-4-oxo-2,6-pyridinedicarboxamide)",178.0,263.3
"Poly(hexamethylene 1,4-piperazinediacetamide)",168.0,282.39
"Poly(hexamethylene 1-methyl-2,5-pyrroledipropionamide) (diacid)",180.0,305.42
"Poly(hexamethylene 1-methyl-2,5-pyrrolidinedipropionamide) (diacid)",200.0,309.45
"Poly(hexamethylene 2,3-pyrazoledicarboxamide)",140.0,238.29
"Poly(hexamethylene 2,3-pyridinedicarboxamide)",103.0,247.3
"Poly(hexamethylene 2,4-pyrazoledicarboxamide)",271.0,238.29
"Poly(hexamethylene 2,4-pyridinedicarboxamide)",220.0,247.3
"Poly(hexamethylene 2,5-dihydroxy-terephthalamide) (diacid)",334.0,278.31
"Poly(hexamethylene 2,5-dimethyl-terephthalamide) (diacid)",143.0,274.36
"Poly(hexamethylene 2,5-pyridinedicarboxamide)",272.0,247.3
"Poly(hexamethylene 2,5-tetrahydrofurandipropionamide)",182.0,296.41
"Poly(hexamethylene 2,5-thiophenediacetamide)",230.0,280.39
"Poly(hexamethylene 2,5-thiophenedicarboxamide)",315.0,252.33
"Poly(hexamethylene 2,5-thiophenedipropionamide)",221.0,308.44
"Poly(hexamethylene 2,6-dimethyl-3,5-pyridinedicarboxamide) (diacid)",140.0,275.35
"Poly(hexamethylene 2,6-pyridinedicarboxamide)",220.0,247.3
"Poly(hexamethylene 3,3'-dimethyl-3,3'-p-phenylenedibutyramide) (diacid)",193.0,358.52
"Poly(hexamethylene 3,3'-methylenedibenzamide)",113.0,336.44
"Poly(hexamethylene 3,3'-p-phenylenedibutyramide)",196.0,330.47
"Poly(hexamethylene 3,4-pyridinedicarboxamide)",101.0,247.3
"Poly(hexamethylene 3,5-pyridinedicarboxamide)",257.0,247.3
"Poly(hexamethylene 4,4'-isopropylidenedibenzamide)",180.0,364.49
"Poly(hexamethylene 4,4'-methylenediphenylene)",132.0,336.44
"Poly(hexamethylene 4,4'-oxydibenzoate)",74.0,340.38
"Poly(hexamethylene 4,4'-sulfonyldibenzamide)",310.0,386.46
"Poly(hexamethylene 4,4'-sulfonyldibenzoate)",280.0,388.44
"Poly(hexamethylene 4-oxo-4(H)-pyran-2,6-dicarboxamide) (diacid)",77.0,264.28
Poly(hexamethylene 5-oxadodecanediamide),149.0,312.45
Poly(hexamethylene 5-oxahexadecanediamide),159.0,368.56
Poly(hexamethylene 5-oxasebacamide),160.0,284.4
Poly(hexamethylene 5-oxatetradecanediamide),155.0,340.51
Poly(hexamethylene 5-oxaundecanediamide),152.0,298.43
Poly(hexamethylene 5-pyrrolidonylidenedipropionamide),250.0,295.4
Poly(hexamethylene 6-hydroxy-undecanediamide) (diacid),165.0,312.45
Poly(hexamethylene 6-oxaheptadecanediamide),160.0,382.59
Poly(hexamethylene 6-oxapentadecanediamide),154.0,354.53
"Poly(hexamethylene N,N'-dimethyl-terephthalamide)",260.0,274.36
"Poly(hexamethylene N,N'-lysyldiurea) methyl ester",180.0,328.41
"Poly(hexamethylene N,N'-pentamethylenediterephthalamate)",238.0,480.56
"Poly(hexamethylene N,N'-piperazinediterephthalamate)",255.0,464.52
"Poly(hexamethylene N,N'-tetramethylenediterephthalamate)",290.0,466.53
"Poly(hexamethylene N,N'-trimethylenediterephthalamate)",256.0,452.51
"Poly(hexamethylene Si-tetramethyl-tetraphenyl-4,4'-tetrasiloxanylenedibenzamide)",140.0,847.28
"Poly(hexamethylene Sidimethyl-4,4'-silylenedibenzamide)",190.0,380.56
Poly(hexamethylene adipamide-alt-hexamethylene oxamide),268.0,396.53
Poly(hexamethylene adipoyldiurethane),206.0,314.34
Poly(hexamethylene azelamide-alt-hexamethylene oxamide),254.0,438.61
Poly(hexamethylene azelate),54.0,270.37
Poly(hexamethylene carbonate),60.0,144.17
Poly(hexamethylene cis-cyclopropylenedicarboxamide),180.0,210.28
Poly(hexamethylene isophthalamide),210.0,246.31
Poly(hexamethylene isophthalate),110.0,248.28
Poly(hexamethylene ketodipropionamide),180.0,254.33
Poly(hexamethylene m-carboxycarbanilate),96.0,263.29
Poly(hexamethylene m-phenylenediacetamide),182.0,274.36
Poly(hexamethylene methyl-terephthalamide) (diacid),248.0,260.34
Poly(hexamethylene naphthalenedicarboxamide),200.0,298.39
Poly(hexamethylene nonamethylenediurea),243.0,326.48
Poly(hexamethylene octadecamethylenediurea),192.0,452.73
Poly(hexamethylene octadecanediamide),192.0,394.64
Poly(hexamethylene octamethylenedithiourea),160.0,344.58
Poly(hexamethylene octamethylenediurea),249.0,312.46
Poly(hexamethylene octamethylenediurethane),153.0,342.48
Poly(hexamethylene oxamide-alt-hexamethylene pimelamide),259.0,410.56
Poly(hexamethylene oxamide-alt-hexamethylene sebacamide),257.0,452.64
Poly(hexamethylene oxamide-alt-hexamethylene suberamide),260.0,424.58
Poly(hexamethylene oxydiacetamide),157.5,214.26
Poly(hexamethylene oxydiacetate),64.5,216.23
Poly(hexamethylene oxydibutyramide),187.0,270.37
Poly(hexamethylene oxydicaproamide),175.0,326.48
Poly(hexamethylene oxydienanthamide),170.0,354.53
Poly(hexamethylene oxydipelarqonamide),158.0,410.64
Poly(hexamethylene p-phenylenediacetamide),300.0,274.36
Poly(hexamethylene p-phenylenedipropionamide),295.75,302.42
Poly(hexamethylene p-xylylenediurea),306.0,304.39
Poly(hexamethylene p-xylylenediurethane),209.0,306.36
Poly(hexamethylene pentamethylenediurea),251.0,270.38
Poly(hexamethylene phthalamide),150.0,246.31
Poly(hexamethylene pimelamide),215.0,240.35
Poly(hexamethylene pimelate),55.0,242.32
Poly(hexamethylene piperazinediurea),255.0,254.33
Poly(hexamethylene propylenediurea) racemic,230.0,270.33
Poly(hexamethylene sebacoyldiurethane),158.0,370.45
Poly(hexamethylene succinate),57.0,200.23
Poly(hexamethylene sulfonyldivaleramide),215.0,346.49
Poly(hexamethylene sulfonyldivalerate),92.0,348.46
Poly(hexamethylene tetradecamethylenediurea),198.0,396.62
Poly(hexamethylene tetradecanediamide),209.0,338.54
Poly(hexamethylene tetramethylenediurea),283.0,256.35
Poly(hexamethylene thiodibutyramide),200.0,286.43
Poly(hexamethylene thiodienanthamide),170.0,370.6
Poly(hexamethylene thiodipropionamide),217.5,258.38
Poly(hexamethylene thiodivaleramide),182.5,314.49
Poly(hexamethylene thiourea),160.0,158.26
"Poly(hexamethylene trans-1,2-cyclohexylenedicarboxamide)",242.0,252.36
"Poly(hexamethylene trans-1,3-cyclohexylenedicarboxamide)",312.0,252.36
"Poly(hexamethylene trans-1,4-cyclohexylenedicarboxylate)",120.0,254.33
Poly(hexamethylene trimethylenediurea),266.0,242.32
Poly(hexamethyleneoxy-p-phenylene oxide),170.0,192.26
Poly(hexamethylenethiopentamethylene sulfide),65.0,218.42
Poly(hexamethylenethiotetramethylene sulfide),71.0,204.39
Poly(hexamethylenethioundecamethylene sulfide),78.0,302.59
Poly(hexenamer),61.0,82.15
Poly(hexyl-hexamethylene malonamide) (diacid),144.5,268.4
Poly(hydrazo adipamide),320.0,142.16
Poly(hydrazo azelamide),237.0,184.24
Poly(hydrazo docosanediamide),210.0,366.59
Poly(hydrazo dodecanediamide),242.0,226.32
Poly(hydrazo glutaramide),140.0,128.13
Poly(hydrazo pimelamide),260.0,156.18
Poly(hydrazo sebacamide),260.0,198.27
Poly(hydrazo suberamide),275.0,170.21
Poly(hydrazo thiodivaleramide),180.0,230.33
Poly(isobutylene sulfide),187.0,88.17
Poly(isophthalaldehyde),80.0,134.13
Poly(isophthalic anhydride),259.0,148.12
Poly(isophthaloyl dithionisophthaloyldihydrazide),324.0,356.42
Poly(isopropyl-2-hydroxyacetic acid) [isopropylglycolic acid],205.0,100.12
Poly(isopropylidene sulfide),124.5,74.14
Poly(m-chloro-styrene),158.0,138.6
Poly(m-fluoro-styrene),262.5,122.14
Poly(m-hydroxybenzoic acid),176.0,120.11
Poly(m-methyl-styrene),206.0,118.18
Poly(m-phenylene adipamide),320.0,218.26
Poly(m-phenylene hexamethylenediurethane),150.0,278.31
Poly(m-phenylene isophthalate),245.0,240.21
Poly(m-phenylene succinate),260.0,192.17
Poly(m-xylylene azelamide),172.0,288.39
Poly(m-xylylene isophthalamide),225.0,266.3
Poly(m-xylylene pimelamide),192.0,260.34
Poly(m-xylylene sebacamide),193.0,302.42
Poly(m-xylylene suberamide),213.0,274.36
Poly(m-xylylene terephthalamide),300.0,266.3
Poly(m-xylylene tetradecanediamide),192.0,358.53
Poly(m-xylylene),80.0,104.15
Poly(methacrylic acid) tert-butyl ester,134.5,142.12
"Poly(methyl-ethylene 2,2'-dibenzoate) (diol)",55.0,282.3
"Poly(methyl-ethylene 3,3'-dibenzoate) (diol)",97.0,282.3
"Poly(methyl-ethylene 4,4'-dibenzoate) (diol)",140.0,282.3
"Poly(methyl-hexamethylene 4,4'-vinylenedibenzamide) (diacid)",160.0,362.47
"Poly(methyl-p-phenylene 1,4-piperazinedipropionate) (diacid)",164.0,318.37
Poly(methyl-p-xylylene),220.0,118.18
"Poly(methyl-piperazine 1,4-piperazinedipropionamide) (diacid)",218.0,294.4
"Poly(methyl-piperazine 1,4-piperazinedipropionamide) (diamine)",217.0,294.4
Poly(methyl-piperazine isophthalamide) (diamine),280.0,230.27
Poly(methyldecamethylene fumaramide) (diacid),166.0,266.38
Poly(methyleneoxynonamethylene oxide),55.0,172.27
Poly(methyleneoxyoctadecamethylene oxide),72.0,298.51
Poly(methyleneoxytetradecamethylene oxide),69.0,242.4
Poly(methylenethiotetramethylene sulfide),73.0,134.26
Poly(methylethylene sulfonyldivalerate) (diol),68.0,306.38
Poly(methylethylene terephthalate) (diacid),70.0,206.2
Poly(methylethylene terephthalate) (diol),111.0,206.2
Poly(neopentylethylene oxide),82.0,114.19
"Poly(nonamethylene 2,5-tetrahydrofurandipropionamide)",149.0,338.49
"Poly(nonamethylene N,N'-ethylenediterephthalamate)",267.0,480.56
"Poly(nonamethylene N,N'-hexamethylene diterephthalamate)",219.0,536.67
"Poly(nonamethylene N,N'-pentamethylenediterephthalamate)",194.0,522.64
"Poly(nonamethylene N,N'-tetramethylenediterephthalamate)",259.0,508.61
"Poly(nonamethylene N,N'-trimethylenediterephthalamate)",211.0,494.59
Poly(nonamethylene adipamide),223.5,268.4
Poly(nonamethylene disulfide),57.5,190.36
Poly(nonamethylene oxamide-alt-nonamethylene sebacamide),234.0,536.8
Poly(nonamethylene pimelamide),196.0,282.43
Poly(nonamethylene sebacamide),189.0,324.51
Poly(nonamethylene tridecanediamide),183.0,366.59
Poly(nonamethylene undecanediamide),196.0,338.54
Poly(nonamethylene urea),220.0,184.28
Poly(nonyl-hexamethylene malonamide) (diacid),137.0,310.48
Poly(o-hydroxy-styrene-alt-carbon monoxide),195.0,148.16
Poly(o-methoxy-vinylcyclohexane),195.0,140.23
Poly(o-phenylene adipamide),179.0,218.26
Poly(o-phenylene sebacamide),125.0,274.36
Poly(o-phenylene suberamide),150.0,246.31
"Poly(octadecamethylene 4,4'-(ethylenedixy)-dibenzoate]",122.0,552.77
Poly(octadecamethylene anhydride),95.0,296.45
Poly(octadecamethylene docosanediamide),146.0,619.08
Poly(octadecamethylene dodecanediamide),170.0,478.8
Poly(octadecamethylene octadecanediamide),152.0,562.97
Poly(octadecamethylene p-phenylenediacetamide),225.0,442.69
Poly(octadecamethylene p-phenylenedipropionamide),232.0,470.74
Poly(octadecamethylene p-xylylenediurea),226.0,472.72
Poly(octadecamethylene sebacamide),171.0,450.75
Poly(octadecamethylene terephthalamide),255.0,414.63
Poly(octadecamethylene terephthalate),116.0,416.6
Poly(octadecyl-hexamethylene malonamide) (diacid),165.0,436.72
"Poly(octamethylene 2,4-pyridinedicarboxamide)",190.0,275.35
"Poly(octamethylene 2,5-furandicarboxamide)",125.0,264.32
"Poly(octamethylene 2,5-pyridinedicarboxamide)",232.0,275.35
"Poly(octamethylene 2,5-tetrahydrofurandipropionamide)",180.0,324.46
"Poly(octamethylene 2,5-thiophenedicarboxamide)",304.0,280.39
"Poly(octamethylene 2,6-pyridinedicarboxamide)",192.0,275.35
"Poly(octamethylene 3,5-pyridinedicarboxiamide)",214.0,275.35
"Poly(octamethylene 4,4'-biphenylenedicarboxylate)",197.0,352.43
"Poly(octamethylene N,N'-ethylenediterephthalamate)",282.0,466.53
"Poly(octamethylene N,N'-hexamethylenediterephthalamate)",238.0,522.64
"Poly(octamethylene N,N'-tetramethylenediterephthalamate)",276.0,494.59
"Poly(octamethylene N,N'-trimethylenediterephthalamate)",231.0,480.56
"Poly(octamethylene N,N,'-pentamethylenediterephthalamate)",207.0,508.61
Poly(octamethylene adipamide),246.33333333333334,254.37
Poly(octamethylene decamethylenediurethane),137.0,370.53
Poly(octamethylene disulfide),58.0,176.34
Poly(octamethylene docosanediamide),175.0,478.8
Poly(octamethylene dodecanediamide),198.66666666666666,338.54
Poly(octamethylene dodecanedioate),73.0,340.5
Poly(octamethylene eicosanediamide),179.0,450.75
Poly(octamethylene isophthalamide),186.0,274.36
Poly(octamethylene octadecanediamide),179.0,422.7
Poly(octamethylene octamethylenedithiourea),190.0,372.63
Poly(octamethylene octamethylenediurethane),144.0,342.48
Poly(octamethylene oxamide),276.0,198.27
Poly(octamethylene oxamide-alt-octamethylene sebacamide),244.0,508.75
Poly(octamethylene p-phenylenediacetamide),280.0,302.42
Poly(octamethylene p-phenylenedipropionamide),289.0,330.47
Poly(octamethylene p-xylylenediurea),278.0,332.45
Poly(octamethylene p-xylylenediurethane),196.0,334.42
Poly(octamethylene phthalamide),123.0,274.36
Poly(octamethylene sebacamide),207.66666666666666,310.48
Poly(octamethylene sebacoyldiurea),212.0,396.53
Poly(octamethylene tetradecanediamide),196.0,366.59
Poly(octamethylene tetramethylenedithiourea),160.0,316.53
Poly(octamethylene urea),260.0,170.26
Poly(octyl-hexamethylene malonamide) (diacid),132.0,296.45
Poly(octyl-phosphinideneditrimethylene adipamide),135.0,370.52
"Poly(oxydiethylene 2,2'-dibenzoate)",95.0,312.32
"Poly(oxydiethylene 3,3'-dibenzoate)",75.0,312.32
"Poly(oxydiethylene 4,4'-dibenzoate)",170.0,312.32
"Poly(oxydiethylene 4,4'-ethylenedibenzoate)",105.0,340.38
"Poly(oxydiethylene 4,4'-methylenedibenzoate)",145.0,326.35
Poly(oxydiethylene hexamethylenediurethane),120.0,274.32
Poly(oxydiethylene isophthalate),90.0,236.22
Poly(oxydiethylene sulfonyldivalerate),66.0,304.34
Poly(oxydipentamethylene 5-oxadodecanediamide),102.0,384.56
Poly(oxydipentamethylene 5-oxahexadecanediamide),122.0,440.67
Poly(oxydipentamethylene 5-oxasebacamide),127.0,356.51
Poly(oxydipentamethylene 5-oxatetradecanediamide),118.0,412.61
Poly(oxydipentamethylene 5-oxaundecanediamide),108.0,370.53
Poly(oxydipentamethylene 6-oxadodecanediamide),100.0,384.56
Poly(oxydipentamethylene 6-oxaheptadecanediamide),128.0,454.7
Poly(oxydipentamethylene 6-oxapentadecanediamide),117.0,426.64
Poly(oxydipentamethylene 6-oxatridecanediamide),106.0,398.59
Poly(oxydipentamethylene oxydibutyramide),138.0,342.48
Poly(oxydipentamethylene oxydicaproamide),128.0,398.59
Poly(oxydipentamethylene oxydienanthamide),129.0,426.64
Poly(oxydipentamethylene oxydipelargonamide),129.0,482.75
Poly(oxydipentamethylene oxydivaleramide),134.0,370.53
Poly(oxyditetramethylene hexamethylenediurethane),124.0,330.42
